,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,latitude,longitude,
0,RANDOMAYANG,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,-1.0268934,119.4780695,
1,PANGIANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,-1.1320265,119.3831606,
0,PAKAVA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,-1.203958,119.456734,
1,KARYA BERSAMA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,-1.218749,119.3061036,
2,AKO,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,-1.1860529,119.330699,
0,BARAS,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,-1.5662057,119.3363679,
1,BULU PARIGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,-1.6088944,119.3053701,
0,SARUDU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,-1.6775242,119.2708299,
1,DODA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,-1.6439774,119.2860521,
0,DAPURANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,-1.7313918,119.3174056,
1,SARASA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,-1.7798029,119.3031577,
0,SAPTANAJAYA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,-1.638905,119.3666088,
1,TARANGGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,-1.6636124,119.3485706,
0,BUKIT HARAPAN,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,-1.5494746,119.4383138,
1,SUMBER SARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,-1.435386,119.4177877,
2,LELEJAE,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BULU TABA,-1.432194,119.4001174,
0,MAKMUR JAYA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,-1.354883,119.3891871,
1,LARIANG,0,0,1,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,-1.4156618,119.3133944,
0,BATU OGE,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,-1.27109,119.2786491,
1,MARTASARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,-1.2697829,119.349237,
0,BAMBAIRA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,-0.9786244,119.4868156,
1,TAMPAURE,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,-0.9590065,119.5147608,
0,SARJO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,-0.8801655,119.5322358,
1,MAPONU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,-0.9227466,119.5231115,
0,KULU,0,0,1,0,SULAWESI BARAT,PASANGKAYU,LARIANG,-1.453835,119.3598589,
1,BAMBAKORO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,LARIANG,-1.4423384,119.2715132,
0,MAMUNYU,1,0,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,-2.7312059,118.8887834,
1,KARAMPUANG,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,-2.6332035,118.8700374,
2,BATU PANNU,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,-2.7153139,118.9031604,
0,TAAN,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,-2.9010127,118.9024527,
1,TAMPALANG,0,1,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,-2.8151902,118.8691967,
2,RANTEDODA,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,-2.8297057,118.8963401,
3,KOPEANG,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,2.8147252,118.9655941,
0,SINYONYOI,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,-2.6430881,118.9168353,
1,KEANG,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,-2.6459678,119.1521831,
2,KALUKKU BARAT,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,-2.5302668,119.0171196,
0,KONDO BULO,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUMPANG,-2.6370272,119.3573333,
0,PAPALANG,1,0,0,0,SULAWESI BARAT,MAMUJU,PAPALANG,-2.4679501,119.1129958,
1,BONDA,1,0,0,0,SULAWESI BARAT,MAMUJU,PAPALANG,-2.370187,119.1406521,
0,BUNDE,1,0,0,0,SULAWESI BARAT,MAMUJU,SAMPAGA,-2.3435266,119.1679264,
1,SAMPAGA,0,1,0,0,SULAWESI BARAT,MAMUJU,SAMPAGA,-2.3729097,119.1486769,
0,CAMPALOGA,1,0,0,0,SULAWESI BARAT,MAMUJU,TOMMO,-2.3231306,119.2968978,
1,RANTEMARIO,1,0,0,0,SULAWESI BARAT,MAMUJU,TOMMO,-2.2974771,119.3054939,
0,SALETTO,0,1,0,0,SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,-2.7281855,118.8263168,
1,BOTTENG UTARA,1,0,0,0,SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,-2.7581865,118.8193924,
2,TAPANDULLU,0,1,0,0,SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,-2.668736,118.7895892,
0,DUNGKAIT,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,-2.8291516,118.7547872,
1,LEBANI,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,-2.708785,118.6921799,
2,LABUANG RANO,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,-2.7934048,118.7409656,
3,PASABU,0,1,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,-2.8336106,118.7910996,
4,PANGASAAN,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,-2.7385057,118.7739201,
0,SALUTIWO,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,-2.5476602,119.3389812,
1,MAPPU,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,-2.4711668,119.3753971,
2,BANUADA,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,-2.6023741,119.2118344,
3,HINUA,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,-2.5567152,119.2299721,
0,BALA BALAKANG,1,0,0,0,SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,-2.1466875,117.0002328,
0,SENDANA,0,1,0,0,SULAWESI BARAT,MAMASA,MAMBI,-2.9529006,119.1715122,
1,BUJUNG MANURUNG,0,1,0,0,SULAWESI BARAT,MAMASA,MAMBI,-2.9328885,119.1613497,
