,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,,
0,RANDOMAYANG,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,,
1,PANGIANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,,
0,PAKAVA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,,
1,KARYA BERSAMA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,,
2,AKO,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,,
0,BARAS,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,,
1,BULU PARIGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,,
0,SARUDU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,,
1,DODA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,,
0,DAPURANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,,
1,SARASA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,,
0,SAPTANAJAYA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,,
1,TARANGGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,,
0,BUKIT HARAPAN,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,,
1,SUMBER SARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,,
2,LELEJAE,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BULU TABA,,
0,MAKMUR JAYA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,,
1,LARIANG,0,0,1,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,,
0,BATU OGE,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,,
1,MARTASARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,,
0,BAMBAIRA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,,
1,TAMPAURE,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,,
0,SARJO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,,
1,MAPONU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,,
0,KULU,0,0,1,0,SULAWESI BARAT,PASANGKAYU,LARIANG,,
1,BAMBAKORO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,LARIANG,,
0,MAMUNYU,1,0,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,,
1,KARAMPUANG,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,,
2,BATU PANNU,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,,
0,TAAN,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,,
1,TAMPALANG,0,1,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,,
2,RANTEDODA,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,,
3,KOPEANG,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,,
0,SINYONYOI,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,,
1,KEANG,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,,
2,KALUKKU BARAT,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,,
