,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,latitude,longitude
0,RANDOMAYANG,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,5,20
1,PANGIANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,54,43
0,PAKAVA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,54,30
1,KARYA BERSAMA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,83,2
2,AKO,0,1,0,0,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,7,52
0,BARAS,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,87,38
1,BULU PARIGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BARAS,44,22
0,SARUDU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,4,53
1,DODA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARUDU,16,43
0,DAPURANG,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,58,84
1,SARASA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DAPURANG,82,18
0,SAPTANAJAYA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,54,31
1,TARANGGI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,DURIPOKU,78,44
0,BUKIT HARAPAN,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,2,32
1,SUMBER SARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BULU TABA,31,11
2,LELEJAE,0,0,0,1,SULAWESI BARAT,PASANGKAYU,BULU TABA,94,96
0,MAKMUR JAYA,0,1,0,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,66,11
1,LARIANG,0,0,1,0,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,8,47
0,BATU OGE,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,22,53
1,MARTASARI,1,0,0,0,SULAWESI BARAT,PASANGKAYU,PEDONGGA,31,78
0,BAMBAIRA,1,0,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,58,3
1,TAMPAURE,0,1,0,0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,30,83
0,SARJO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,47,40
1,MAPONU,1,0,0,0,SULAWESI BARAT,PASANGKAYU,SARJO,54,91
0,KULU,0,0,1,0,SULAWESI BARAT,PASANGKAYU,LARIANG,92,81
1,BAMBAKORO,1,0,0,0,SULAWESI BARAT,PASANGKAYU,LARIANG,54,71
0,MAMUNYU,1,0,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,88,84
1,KARAMPUANG,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,25,38
2,BATU PANNU,0,1,0,0,SULAWESI BARAT,MAMUJU,MAMUJU,61,61
0,TAAN,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,43,6
1,TAMPALANG,0,1,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,11,32
2,RANTEDODA,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,43,81
3,KOPEANG,1,0,0,0,SULAWESI BARAT,MAMUJU,TAPALANG,16,69
0,SINYONYOI,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,83,61
1,KEANG,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,91,83
2,KALUKKU BARAT,0,1,0,0,SULAWESI BARAT,MAMUJU,KALUKKU,6,91
0,KONDO BULO,1,0,0,0,SULAWESI BARAT,MAMUJU,KALUMPANG,47,82
0,PAPALANG,1,0,0,0,SULAWESI BARAT,MAMUJU,PAPALANG,40,47
