"","provinsi","kabupaten","kecamatan","desa.kelurahan","paripurna","lengkap","sederhana"
"1","SULAWESI BARAT","POLEWALI MANDAR","TAPANGO","JAMBU MALEA",1,0,0
"2","SULAWESI BARAT","MAJENE","BANGGAE TIMUR","BAURUNG",1,0,0
"3","SULAWESI BARAT","POLEWALI MANDAR","LIMBORO","SAMASUNDU",1,0,0
"4","SULAWESI BARAT","POLEWALI MANDAR","MATAKALI","PETAMPANUA",1,0,0
"5","SULAWESI BARAT","MAMASA","SUMARORONG","SALUBALO",1,0,0
"6","SULAWESI BARAT","POLEWALI MANDAR","POLEWALI","TAKATIDUNG",1,0,0
"7","SULAWESI BARAT","POLEWALI MANDAR","WONOMULYO","TUMPILING",1,0,0
"8","SULAWESI BARAT","PASANGKAYU","BULU TABA","SUMBER SARI",1,0,0
"9","SULAWESI BARAT","POLEWALI MANDAR","POLEWALI","SULEWATANG",1,0,0
"10","SULAWESI BARAT","POLEWALI MANDAR","POLEWALI","POLEWALI",1,0,0
"11","SULAWESI BARAT","POLEWALI MANDAR","BINUANG","TONYAMAN",1,0,0
"12","SULAWESI BARAT","MAMASA","BAMBANG","MOKALLANG",1,0,0
"13","SULAWESI BARAT","PASANGKAYU","TIKKE RAYA","MAKMUR JAYA",1,0,0
"14","SULAWESI BARAT","POLEWALI MANDAR","MATANGNGA","TAPUA",0,0,1
"15","SULAWESI BARAT","MAMASA","TABANG","TABANG BARAT",1,0,0
"16","SULAWESI BARAT","POLEWALI MANDAR","TINAMBUNG","SEPABATU",1,0,0
"17","SULAWESI BARAT","MAMUJU","SAMPAGA","SAMPAGA",1,0,0
"18","SULAWESI BARAT","MAMUJU","SIMBORO DAN KEPULAUAN","SALETTO",1,0,0
"19","SULAWESI BARAT","POLEWALI MANDAR","BULO","PULLIWA",0,0,1
"20","SULAWESI BARAT","MAJENE","SENDANA","LALATEDZONG",1,0,0
"21","SULAWESI BARAT","PASANGKAYU","BULU TABA","LELEJAE",1,0,0
"22","SULAWESI BARAT","MAMUJU TENGAH","TOPOYO","TUMBU",1,0,0
"23","SULAWESI BARAT","MAMASA","MAMBI","SENDANA",1,0,0
"24","SULAWESI BARAT","MAJENE","MALUNDA","MALIAYA",1,0,0
"25","SULAWESI BARAT","PASANGKAYU","LARIANG","KULU",1,0,0
"26","SULAWESI BARAT","POLEWALI MANDAR","WONOMULYO","SIDOREJO",1,0,0
"27","SULAWESI BARAT","PASANGKAYU","BAMBAIRA","TAMPAURE",1,0,0
"28","SULAWESI BARAT","POLEWALI MANDAR","ANREAPI","KUNYI",0,0,1
"29","SULAWESI BARAT","PASANGKAYU","TIKKE RAYA","LARIANG",1,0,0
"30","SULAWESI BARAT","PASANGKAYU","PASANGKAYU","KARYA BERSAMA",1,0,0
"31","SULAWESI BARAT","MAMUJU","TAPALANG","TAAN",0,0,1
"32","SULAWESI BARAT","MAJENE","PAMBOANG","BONDE UTARA",1,0,0
"33","SULAWESI BARAT","MAMUJU TENGAH","TOBADAK","BAMBADARU",1,0,0
"34","SULAWESI BARAT","MAMASA","BALLA","BALLA TUMUKA",1,0,0
"35","SULAWESI BARAT","MAMASA","BALLA","BALLA SATANETEAN",1,0,0
"36","SULAWESI BARAT","POLEWALI MANDAR","BALANIPA","BALA",1,0,0
"37","SULAWESI BARAT","MAMUJU TENGAH","BUDONG-BUDONG","BABANA",1,0,0
"38","SULAWESI BARAT","MAMUJU TENGAH","TOPOYO","BUDONG-BUDONG",1,0,0
"39","SULAWESI BARAT","POLEWALI MANDAR","LIMBORO","TANGAN BARU",0,0,1
"40","SULAWESI BARAT","MAMASA","BUNTUMALANGKA","BUNTUMALANGKA",1,0,0
"41","SULAWESI BARAT","POLEWALI MANDAR","TUTAR","TARAMANU",1,0,0
"42","SULAWESI BARAT","MAJENE","PAMBOANG","BUTTU PAMBOANG",1,0,0
"43","SULAWESI BARAT","MAJENE","TAMMERODO SENDANA","TAMMERODO",1,0,0
"44","SULAWESI BARAT","MAMUJU TENGAH","PANGALE","SARTANAMAJU",0,0,1
"45","SULAWESI BARAT","POLEWALI MANDAR","LIMBORO","SALARRI",1,0,0
"46","SULAWESI BARAT","MAMUJU TENGAH","PANGALE","KOMBILING",0,0,1
"47","SULAWESI BARAT","POLEWALI MANDAR","MAPILLI","SATTOKO",1,0,0
"48","SULAWESI BARAT","MAMASA","PANA","DATUBARINGAN",1,0,0
"49","SULAWESI BARAT","MAMASA","MESSAWA","PASMA MAMBU",1,0,0
"50","SULAWESI BARAT","POLEWALI MANDAR","CAMPALAGIAN","SUMARRANG",1,0,0
"51","SULAWESI BARAT","PASANGKAYU","PASANGKAYU","AKO",1,0,0
"52","SULAWESI BARAT","MAJENE","SENDANA","LIMBUA",1,0,0
"53","SULAWESI BARAT","MAMUJU","KALUKKU","KALUKKU BARAT",1,0,0
"54","SULAWESI BARAT","POLEWALI MANDAR","MATAKALI","TONROLIMA",1,0,0
"55","SULAWESI BARAT","POLEWALI MANDAR","ANREAPI","DUAMPANUA",1,0,0
"56","SULAWESI BARAT","MAMUJU TENGAH","TOPOYO","SINABATTA",1,0,0
"57","SULAWESI BARAT","MAMASA","MEHALAAN","BOTTENG",1,0,0
"58","SULAWESI BARAT","MAJENE","BANGGAE TIMUR","TANDE",1,0,0
"59","SULAWESI BARAT","PASANGKAYU","BAMBALAMOTU","RANDOMAYANG",1,0,0
"60","SULAWESI BARAT","POLEWALI MANDAR","POLEWALI","MANDING",1,0,0
"61","SULAWESI BARAT","MAMASA","MAMASA","PEBASSIAN",1,0,0
"62","SULAWESI BARAT","POLEWALI MANDAR","TAPANGO","BUSSU",1,0,0
"63","SULAWESI BARAT","MAJENE","BANGGAE","PAMBOBORANG",0,0,1
"64","SULAWESI BARAT","MAJENE","BANGGAE TIMUR","BUTTU BARUGA",0,0,1
"65","SULAWESI BARAT","MAJENE","PAMBOANG","BANUA ADOLANG",0,0,1
"66","SULAWESI BARAT","MAJENE","PAMBOANG","PESULOANG",0,0,1
"67","SULAWESI BARAT","MAMASA","BAMBANG","RANTELEMO",0,0,1
"68","SULAWESI BARAT","MAMASA","SESENAPADANG","OROBUA",0,0,1
"69","SULAWESI BARAT","MAMASA","SESENAPADANG","OROBUA SELATAN",0,0,1
"70","SULAWESI BARAT","MAMASA","TABANG","TADOKALUA",0,0,1
"71","SULAWESI BARAT","MAMUJU","TAPALANG BARAT","DUNGKAIT",0,0,1
"72","SULAWESI BARAT","PASANGKAYU","BULU TABA","BUKIT HARAPAN",0,0,1
"73","SULAWESI BARAT","PASANGKAYU","SARUDU","DODA",0,0,1
"74","SULAWESI BARAT","POLEWALI MANDAR","BALANIPA","LEGO",0,0,1
"75","SULAWESI BARAT","POLEWALI MANDAR","BALANIPA","SABANG SUBIK",0,0,1
"76","SULAWESI BARAT","POLEWALI MANDAR","LUYO","LUYO",0,0,1
"77","SULAWESI BARAT","POLEWALI MANDAR","LUYO","PUCCADI",0,0,1
"78","SULAWESI BARAT","POLEWALI MANDAR","LUYO","TENGGELANG",0,0,1
"79","SULAWESI BARAT","POLEWALI MANDAR","MAPILLI","BUKU",0,0,1
"80","SULAWESI BARAT","POLEWALI MANDAR","MATAKALI","BUNGA-BUNGA",0,0,1
"81","SULAWESI BARAT","POLEWALI MANDAR","MATAKALI","INDOMAKKOMBONG",0,0,1
"82","SULAWESI BARAT","POLEWALI MANDAR","TINAMBUNG","LEKOPADIS",0,0,1
"83","SULAWESI BARAT","POLEWALI MANDAR","TUTAR","ARABUA",0,0,1
